,q_and_a,cue_text,answer_raw_text,StimulusId,Action,Condition,Answer,Percent,Q_Nchar,Q_Nword,Q_Nsyll,Q_Freq,Q_Body,Q_Spec,Q_Conc,Q_Imag,A_Nchar,A_Nword,A_Nsyll,A_Freq,A_Body,A_Spec,A_Conc,A_Imag
59,How to show humility? Build muscles.,show humility,build muscles,59,5,6,2,97,12,2,5,3.1,2.265060241,2.351351351,2.154761905,3.052631579,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526
60,How to show intellect? Share ideas.,show intellect,share ideas,60,24,6,1,93,13,2,4,3.1,1.869047619,1.972972973,2.16091954,2.894736842,10,2,3,3.4,2.385542169,2.351351351,2.325581395,3.421052632
61,How to show intelligence? Participate in class.,show intelligence,participate in class,61,14,5,1,97,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842
62,How to spread joy? Get a job.,spread joy,get a job,62,2,6,2,91,9,2,2,3.1,3.083333333,2.027027027,2.058823529,3.223684211,7,3,3,4.8,3.75,3.72972973,4.517241379,4.039473684
63,How to spread knowledge? Teach others.,spread knowledge,teach others,63,23,6,1,100,15,2,3,3.1,2.5,2.054054054,2.290697674,3.013157895,11,2,3,3.6,2.879518072,2.675675676,3.367816092,4.486842105
64,How to support a cause? Give to charity.,support a cause,give to charity,64,1,6,1,100,13,3,4,3.6,2.951807229,2.621621622,3.206896552,3.473684211,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368
65,How to take a picture? Point a camera.,take a picture,point a camera,65,8,4,1,100,12,3,4,4.4,4.904761905,5.243243243,6.068965517,6.64,12,3,5,3.2,5.602409639,5.970588235,6.6,6.594594595
66,How to teach others? Give a lecture.,teach others,give a lecture,66,23,5,1,100,11,2,3,3.6,2.879518072,2.675675676,3.367816092,4.486842105,12,3,4,3.7,3.060240964,4.513513514,5,5.368421053
67,How to watch television? Use a remote.,watch television,use a remote,67,28,4,1,97,15,2,5,3.7,3.595238095,5.189189189,5.872093023,6.869565217,10,3,4,3.5,5.641975309,6,6.505882353,6.780821918
68,How to write a check? Sign ones name.,write a check,sign ones name,68,1,4,1,97,11,3,3,3.6,5.130952381,6.027777778,6.564705882,6.833333333,13,3,3,4,5.34939759,6,6.607142857,7
69,How to write a poem? Grab a pencil.,write a poem,grab a pencil,69,24,4,1,97,10,3,3,3.3,2.619047619,4.756756757,5.229885057,5.302631579,11,3,4,3.1,6.035714286,6.588235294,6.839506173,6.835616438
70,How to write a song? Play piano.,write a song,play piano,70,19,4,1,79,10,3,3,3.7,2.630952381,4.378378378,5.08045977,4.921052632,10,2,3,3.6,4.12195122,6.058823529,6.441860465,6.808823529
71,How to write an email? Open a browser.,write an email,open a browser,71,15,5,1,97,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667
72,Why attend a school? Get a degree.,attend a school,get a degree,72,11,3,1,100,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333,11,3,4,4.1,2.797619048,3.702702703,4.574712644,4.171052632
73,Why avoid diseases? Live a long life.,avoid diseases,live a long life,73,10,3,1,100,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579,13,4,4,3.1,4.369047619,3.756756757,3.298850575,3.078947368
74,Why build muscles? Show humility.,build muscles,show humility,74,5,3,2,97,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526,12,2,5,3.1,2.265060241,2.351351351,2.154761905,3.052631579
75,Why clap hands? Give applause.,clap hands,give applause,75,2,1,1,97,10,2,2,3.2,6.107142857,6.685714286,7,7,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081
76,Why click a mouse? Open a browser.,click a mouse,open a browser,76,15,1,1,97,11,3,3,2.6,5.891566265,6.735294118,7,7,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667
77,Why clip coupons? Save money.,clip coupons,save money,77,18,2,1,97,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105
78,Why consume caffeine? Stay alert.,consume caffeine,stay alert,78,13,2,1,94,15,2,4,2.1,5.614457831,5.171428571,6.081395349,5.819444444,9,2,3,3.2,2.69047619,3.108108108,2.885057471,3.684210526
79,Why consume medicine? Reduce pain.,consume medicine,reduce pain,79,17,2,1,97,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316
80,Why contact a friend? Feel connected.,contact a friend,feel connected,80,3,3,1,97,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368,13,2,4,3.2,2.154761905,1.558823529,1.642857143,2.346666667
81,Why crack eggs? Make breakfast.,crack eggs,make breakfast,81,12,1,1,100,9,2,2,3.1,5.857142857,6.428571429,6.843373494,7,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333
82,Why cut paper? Clip coupons.,cut paper,clip coupons,82,18,1,1,93,8,2,3,3.9,5.795180723,6.516129032,6.78313253,6.797297297,11,2,3,2,5.535714286,6.085714286,6.597701149,6.657894737
83,Why dial numbers? Make a phone call.,dial numbers,make a phone call,83,3,1,1,100,11,2,3,2.9,5.523809524,5.388888889,6.548780488,6.693333333,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857
84,Why dress formally? Get a promotion.,dress formally,get a promotion,84,27,2,1,80,13,2,4,2.5,5.361445783,4.638888889,5.73255814,6.106666667,13,3,5,4.1,2.831325301,4.081081081,3.850574713,3.539473684
85,Why drink coffee? Consume caffeine.,drink coffee,consume caffeine,85,13,1,1,97,11,2,3,3.8,5.86746988,6.838709677,6.843373494,6.863013699,15,2,4,2.1,5.614457831,5.171428571,6.081395349,5.819444444
86,Why drink wine? Consume alcohol.,drink wine,consume alcohol,86,16,2,1,100,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667,14,2,5,2.5,5.337349398,5.459459459,6.571428571,6.333333333
87,Why enter a classroom? Attend a school.,enter a classroom,attend a school,87,11,2,1,93,15,3,5,2.8,5.879518072,5.8,6.313953488,6.621621622,13,3,4,3.5,4.178571429,4.297297297,5.344827586,5.653333333
88,Why entertain others? Express a talent.,entertain others,express a talent,88,19,3,1,97,15,2,5,3.1,3.69047619,2.405405405,3.195402299,4.263157895,14,3,5,2.9,3.583333333,2.324324324,2.850574713,3.631578947
89,Why finish a job? Feel productive.,finish a job,feel productive,89,13,3,1,100,10,3,4,4,4.148148148,3.513513514,4.494252874,3.657894737,14,2,4,3.3,2.43373494,2.027027027,1.797619048,2.815789474
90,Why follow recipes? Prepare meals.,follow recipes,prepare meals,90,20,1,1,97,13,2,5,2.9,3.547619048,4.621621622,5.137931034,5.666666667,12,2,3,2.9,4.916666667,4,6.261904762,5.906666667
91,Why gain knowledge? Improve oneself.,gain knowledge,improve oneself,91,4,3,1,97,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842,14,2,4,2.3,3.202380952,1.129032258,2.022988506,2.813333333
92,Why get a promotion? Achieve success.,get a promotion,achieve success,92,27,3,1,97,11,2,4,3.9,2.831325301,4.081081081,3.850574713,3.539473684,14,2,4,2.9,3.095238095,1.972222222,2.2,2.855263158
93,Why give a lecture? Teach others.,give a lecture,teach others,93,23,2,1,100,12,3,4,3.7,3.060240964,4.513513514,5,5.368421053,11,2,3,3.6,2.879518072,2.675675676,3.367816092,4.486842105
94,Why give applause? Show appreciation.,give applause,show appreciation,94,2,2,1,93,12,2,3,3.8,5.547619048,5.941176471,6.083333333,6.581081081,16,2,6,3.3,2.952380952,2.416666667,2.406976744,4.039473684
95,Why give to charity? Support a cause.,give to charity,support a cause,95,1,3,1,100,13,3,5,3.8,3.642857143,3.972972973,4.781609195,4.578947368,13,3,4,3.6,2.951807229,2.621621622,3.206896552,3.473684211
96,Why go shopping? Make a purchase.,go shopping,make a purchase,96,26,2,1,100,10,2,3,4.1,5,3.918918919,5.476744186,6.136986301,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92
97,Why hold a party? Feel sociable.,hold a party,feel sociable,97,25,3,1,97,10,3,4,4.2,4.369047619,4.162162162,5.034482759,5.25,12,2,4,3.1,2.214285714,2.081081081,1.83908046,3.026315789
98,Why keep a memory? Feel nostalgia.,keep a memory,feel nostalgia,98,8,3,1,86.6667,11,3,5,4,1.397590361,3.054054054,1.895348837,2.333333333,13,2,4,3,1.524390244,2.416666667,1.464285714,2.907894737
99,Why kill germs? Avoid diseases.,kill germs,avoid diseases,99,10,2,1,100,9,2,2,3.3,5.341463415,4.567567568,4.586206897,3.881578947,13,2,5,2.7,4.25,2.864864865,2.873563218,2.302631579
100,Why lift a glass? Drink wine.,lift a glass,drink wine,100,16,1,1,93,10,3,3,3.3,6.071428571,6.441176471,6.738095238,6.671052632,9,2,2,3.6,5.506024096,6.361111111,6.746987952,6.786666667
101,Why lift weights? Build muscles.,lift weights,build muscles,101,5,2,1,100,11,2,2,2.6,6.204819277,5.472222222,6.670588235,6.666666667,12,2,3,3,6.047619048,3.945945946,5.448275862,4.684210526
102,Why make a list? Plan ahead.,make a list,plan ahead,102,6,2,1,97,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474
103,Why make a phone call? Contact a friend.,make a phone call,contact a friend,103,3,2,1,100,14,4,4,4.3,4.416666667,5.657142857,6.252873563,6.857142857,14,3,4,3.7,3.714285714,4.810810811,5.045977011,5.078947368
104,Why make a purchase? Satisfy a need.,make a purchase,satisfy a need,104,26,3,1,97,13,3,4,3.5,4.476190476,3.297297297,5.694117647,5.92,12,3,5,3,3.607142857,1.8,2.620689655,2.921052632
105,Why make art? Show creativity.,make art,show creativity,105,9,3,1,100,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737,14,2,6,3.1,2.547619048,1.161290323,2.348837209,3.25
106,Why make breakfast? Satisfy hunger.,make breakfast,satisfy hunger,106,12,2,1,100,13,2,3,4.2,5.178571429,4.324324324,6.277108434,6.293333333,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632
107,Why open a bottle? Consume medicine.,open a bottle,consume medicine,107,17,1,1,83.3333,11,3,4,3.7,5.964285714,6.111111111,6.627906977,7,15,2,4,2.6,5.512195122,4.405405405,6.32183908,6.464788732
108,Why open a browser? Write an email.,open a browser,write an email,108,15,2,1,93,12,3,5,2.5,5.166666667,6.166666667,6.352941176,6.666666667,12,3,4,2.9,3.619047619,5.416666667,6.034883721,6.315068493
109,Why open a magazine? Read articles.,open a magazine,read articles,109,4,1,1,97,13,3,6,3.6,6.036144578,6.28125,6.814814815,6.884057971,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514
110,Why paint a picture? Make art.,paint a picture,make art,110,9,2,1,97,13,3,4,3.4,4,4.675675676,6.134146341,6.375,7,2,2,4.2,3.630952381,2.135135135,4.287356322,5.157894737
111,Why participate in class? Show intelligence.,participate in class,show intelligence,111,14,2,1,90,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667
112,Why plan ahead? Reduce worry.,plan ahead,reduce worry,112,6,3,1,93,9,2,3,3.6,1.952380952,2.621621622,2.73255814,3.315789474,11,2,4,2.4,2.097560976,2.028571429,1.802325581,2.184210526
113,Why point a camera? Take a picture.,point a camera,take a picture,113,8,1,1,100,12,3,5,3.2,5.602409639,5.970588235,6.6,6.594594595,12,3,4,4.4,4.904761905,5.243243243,6.068965517,6.64
114,Why provide food? Help a person.,provide food,help a person,114,20,3,1,90,11,2,3,3.4,5.109756098,3.27027027,5.436781609,5.052631579,11,3,4,4.3,4,2.72972973,3.942528736,4.25
115,Why raise a hand? Participate in class.,raise a hand,participate in class,115,14,1,1,100,10,3,3,3.8,6.083333333,6.657142857,6.642857143,6.88,18,3,6,3.1,3.178571429,4.081081081,4.551724138,5.144736842
116,Why read articles? Gain knowledge.,read articles,gain knowledge,116,4,2,1,97,12,2,4,3.3,2.5,4.297297297,5.252873563,6.013513514,13,2,3,2.9,1.710843373,2.108108108,2.287356322,3.144736842
117,Why reduce pain? Feel well.,reduce pain,feel well,117,17,3,1,100,10,2,3,3,4.095238095,2.837837838,3.091954023,2.960526316,8,2,2,3.9,3.178571429,2.189189189,1.987804878,3.315789474
118,Why satisfy hunger? Show an ability.,satisfy hunger,show an ability,118,12,3,2,90,13,2,5,2.5,5.05952381,4.135135135,4.195402299,4.921052632,13,3,6,3.6,3.719512195,2.054054054,3.298850575,3.315789474
119,Why save money? Get fit.,save money,get fit,119,18,3,2,94,9,2,3,4.2,2.543209877,4.162162162,3.931034483,3.736842105,6,2,2,4.2,5.416666667,3.216216216,4.448275862,4.394736842
120,Why share ideas? Show intellect.,share ideas,show intellect,120,24,3,1,100,10,2,3,3.4,2.385542169,2.351351351,2.325581395,3.421052632,13,2,4,3.1,1.869047619,1.972972973,2.16091954,2.894736842
121,Why show appreciation? Spread joy.,show appreciation,spread joy,121,2,3,1,87,16,2,6,3.3,2.952380952,2.416666667,2.406976744,4.039473684,9,2,2,3.1,3.083333333,2.027027027,2.058823529,3.223684211
122,Why show competence? Pass the time.,show competence,pass the time,122,28,3,2,97,14,2,4,2.9,2.702380952,2.028571429,2.352941176,2.947368421,11,3,3,4.3,3.404761905,1.303030303,2.137931034,2.868421053
123,Why show courtesy? Make a friend.,show courtesy,make a friend,123,23,3,1,88,12,2,4,3.4,2.928571429,2.702702703,2.488372093,3.921052632,11,3,3,4.6,3.036144578,3.405405405,3.068965517,3.644736842
124,Why show intelligence? Impress others.,show intelligence,impress others,124,14,3,1,93,16,2,5,3.6,1.892857143,2.567567568,2.209302326,3.106666667,13,2,4,3.2,3.548780488,2.108108108,2.258823529,2.92
125,Why sign ones name? Write a check.,sign ones name,write a check,125,1,1,1,86.6667,13,3,3,4,5.34939759,6,6.607142857,7,11,3,3,3.6,5.130952381,6.027777778,6.564705882,6.833333333
126,Why stir ingredients? Mix a cocktail.,stir ingredients,mix a cocktail,126,25,1,1,93,15,2,5,2.2,5.857142857,5.571428571,6.571428571,6.546666667,12,3,4,2.7,5.333333333,4.513513514,6.517647059,6.310810811
127,Why take a picture? Keep a memory.,take a picture,keep a memory,127,8,2,1,97,12,3,4,4.4,4.904761905,5.243243243,6.068965517,6.64,11,3,5,4,1.397590361,3.054054054,1.895348837,2.333333333
128,Why take aspirin? Serve alcohol.,take aspirin,serve alcohol,128,24,1,2,100,11,2,4,3.8,5.547619048,6.485714286,6.686046512,6.773333333,12,2,4,3.1,5.590361446,4.324324324,6.186046512,6.178082192
129,Why teach a class? Obey laws.,teach a class,obey laws,129,20,2,2,93,11,3,3,3.7,3.024390244,4.135135135,4.747126437,5.44,8,2,3,2.8,2.880952381,3.513513514,3.471264368,3.368421053
130,Why throw away trash? Make a list.,throw away trash,make a list,130,6,1,2,97,14,3,4,3.7,5.951219512,6.242424242,6.627906977,7,9,3,3,4.2,3.578313253,4.540540541,5.952941176,6.310810811
131,Why turn a doorknob? Enter a classroom.,turn a doorknob,enter a classroom,131,11,1,1,94,13,3,4,3,6.166666667,6.567567568,6.835294118,7,15,3,5,2.8,5.879518072,5.8,6.313953488,6.621621622
