Name,a,b,a,b,a,b,a,b
 respHowWhyTaskInstructions.keys,1, , , , , , , 
 respHowWhyTaskInstructions.rt,4.921, , , , , , , 
 respTaskInstructions.keys,1, , , , , , , 
 respTaskInstructions.rt,5.367, , , , , , , 
 RewardTrial,0,0,0,0,0,0,0,0
 RewardTrial,0,0,0,0,0,0,0,0
 RT,1.752,1.619,1.468,1.668,1.835,1.768,1.602,3.737
 RT,1.752,1.619,1.468,1.668,1.835,1.768,1.602,3.737
 run, practice, practice, practice, practice, practice, practice, practice, practice
 runid,3,3,3,3,4,4,4,4
 runid,3,3,3,3,4,4,4,4
 salienceCondition,0,0,0,0,1,1,1,1
 salienceCondition,0,0,0,0,1,1,1,1
 session,2,2,2,2,2,2,2,2
 SSamount,17.13157895,18.58305113,15.47368421,24.15796646,25,25,25,25
 SSamount,17.13157895,18.58305113,15.47368421,24.15796646,25,25,25,25
 SSdelay,5,5,5,5,9,4,8,7
 SSdelay,5,5,5,5,9,4,8,7
 SSonLorR,1,1,2,2,2,1,1,1
 SSonLorR,1,1,2,2,2,1,1,1
 startingK,0.01,0.007498942,0.01,0.007498942,0.005623413,0.007498942,0.01,0.013335214
 startingK,0.01,0.007498942,0.01,0.007498942,0.005623413,0.007498942,0.01,0.013335214
 Subject,2001,2001,2001,2001,2001,2001,2001,2001
 Subject,2001,2001,2001,2001,2001,2001,2001,2001
 TaskInterval,1.935295168,0.503836662,1.389846733,0.773258172,0.623326668,1.433067606,0.558357138,1.127519233
 TaskInterval,1.935295168,0.503836662,1.389846733,0.773258172,0.623326668,1.433067606,0.558357138,1.127519233
 Trial,1,2,3,4,1,2,3,4
 Trial,1,2,3,4,1,2,3,4
 TrialOver, , , , , , , , 
 TrialOver, , , , , , , , 
 trials_set1.thisIndex,0,1,2,3,0,1,2,3
 trials_set1.thisIndex,0,1,2,3,0,1,2,3
 trials_set1.thisN,0,1,2,3,0,1,2,3
 trials_set1.thisN,0,1,2,3,0,1,2,3
 trials_set1.thisRepN,0,0,0,0,0,0,0,0
 trials_set1.thisRepN,0,0,0,0,0,0,0,0
 trials_set1.thisTrialN,0,1,2,3,0,1,2,3
 trials_set1.thisTrialN,0,1,2,3,0,1,2,3
 TrialStart, , , , , , , , 
 TrialStart, , , , , , , , 
resp_fMRI.keys,5,,,,,,,
