q_and_a,cue_text,answer_raw_text
How to spread knowledge? Teach others.,spread knowledge,teach others
How to support a cause? Give to charity.,support a cause,give to charity
How to take a picture? Point a camera.,take a picture,point a camera
How to teach others? Give a lecture.,teach others,give a lecture
How to watch television? Use a remote.,watch television,use a remote
How to write a check? Sign ones name.,write a check,sign ones name
How to write a poem? Grab a pencil.,write a poem,grab a pencil
How to write a song? Play piano.,write a song,play piano
How to write an email? Open a browser.,write an email,open a browser
Why attend a school? Get a degree.,attend a school,get a degree
Why avoid diseases? Live a long life.,avoid diseases,live a long life
Why build muscles? Show humility.,build muscles,show humility
Why clap hands? Give applause.,clap hands,give applause
Why click a mouse? Open a browser.,click a mouse,open a browser
Why clip coupons? Save money.,clip coupons,save money
Why consume caffeine? Stay alert.,consume caffeine,stay alert
Why consume medicine? Reduce pain.,consume medicine,reduce pain
Why contact a friend? Feel connected.,contact a friend,feel connected
Why crack eggs? Make breakfast.,crack eggs,make breakfast
Why cut paper? Clip coupons.,cut paper,clip coupons
Why dial numbers? Make a phone call.,dial numbers,make a phone call
Why dress formally? Get a promotion.,dress formally,get a promotion
Why drink coffee? Consume caffeine.,drink coffee,consume caffeine
Why drink wine? Consume alcohol.,drink wine,consume alcohol
Why enter a classroom? Attend a school.,enter a classroom,attend a school
Why entertain others? Express a talent.,entertain others,express a talent
Why finish a job? Feel productive.,finish a job,feel productive
Why follow recipes? Prepare meals.,follow recipes,prepare meals
Why gain knowledge? Improve oneself.,gain knowledge,improve oneself
Why get a promotion? Achieve success.,get a promotion,achieve success
Why give a lecture? Teach others.,give a lecture,teach others
Why give applause? Show appreciation.,give applause,show appreciation
Why give to charity? Support a cause.,give to charity,support a cause
Why go shopping? Make a purchase.,go shopping,make a purchase
Why hold a party? Feel sociable.,hold a party,feel sociable
Why keep a memory? Feel nostalgia.,keep a memory,feel nostalgia
Why kill germs? Avoid diseases.,kill germs,avoid diseases
Why lift a glass? Drink wine.,lift a glass,drink wine
Why lift weights? Build muscles.,lift weights,build muscles
Why make a list? Plan ahead.,make a list,plan ahead
Why make a phone call? Contact a friend.,make a phone call,contact a friend
Why make a purchase? Satisfy a need.,make a purchase,satisfy a need
Why make art? Show creativity.,make art,show creativity
Why make breakfast? Satisfy hunger.,make breakfast,satisfy hunger
Why open a bottle? Consume medicine.,open a bottle,consume medicine
Why open a browser? Write an email.,open a browser,write an email
Why open a magazine? Read articles.,open a magazine,read articles
Why paint a picture? Make art.,paint a picture,make art
Why participate in class? Show intelligence.,participate in class,show intelligence
Why plan ahead? Reduce worry.,plan ahead,reduce worry
Why point a camera? Take a picture.,point a camera,take a picture
Why provide food? Help a person.,provide food,help a person
Why raise a hand? Participate in class.,raise a hand,participate in class
Why read articles? Gain knowledge.,read articles,gain knowledge
Why reduce pain? Feel well.,reduce pain,feel well
Why satisfy hunger? Show an ability.,satisfy hunger,show an ability
Why save money? Get fit.,save money,get fit
Why share ideas? Show intellect.,share ideas,show intellect
Why show appreciation? Spread joy.,show appreciation,spread joy
Why show competence? Pass the time.,show competence,pass the time
Why show courtesy? Make a friend.,show courtesy,make a friend
Why show intelligence? Impress others.,show intelligence,impress others
Why sign ones name? Write a check.,sign ones name,write a check
Why stir ingredients? Mix a cocktail.,stir ingredients,mix a cocktail
Why take a picture? Keep a memory.,take a picture,keep a memory
Why take aspirin? Serve alcohol.,take aspirin,serve alcohol
Why teach a class? Obey laws.,teach a class,obey laws
Why throw away trash? Make a list.,throw away trash,make a list
Why turn a doorknob? Enter a classroom.,turn a doorknob,enter a classroom
Why use a brush? Paint a picture.,use a brush,paint a picture
Why use a camera? Give to charity.,use a camera,give to charity
Why use a comb? Write a song.,use a comb,write a song
Why use a remote? Watch television.,use a remote,watch television
Why use chalk? Get fit.,use chalk,get fit
Why use credit cards? Go shopping.,use credit cards,go shopping
Why wash ones hands? Kill germs.,wash ones hands,kill germs
Why watch television? Show competence.,watch television,show competence
Why wear ties? Dress formally.,wear ties,dress formally
Why write a poem? Express an idea.,write a poem,express an idea
Why write a song? Seek advice.,write a song,seek advice
Why write an email? Send a message.,write an email,send a message
